,Feature,Coefficient,lower 95% CI,upper 95% CI,p_values
0,sex_with_men,0.0,0.0,0.0,1.0
1,sex_with_women,-0.23,-0.48,0.0,0.056
2,sex_with_nonbinary,0.0,0.0,0.0,0.999
3,sexualized_drug_use,-0.38,-0.58,-0.17,0.0
4,sexwork,0.0,-0.2,0.0,0.653
5,sti_symptom,0.0,-0.14,0.01,0.726
6,positive_test_syph,0.0,-0.03,0.12,0.813
7,positive_test_go,0.11,0.0,0.32,0.1
8,positive_test_chla,0.41,0.2,0.62,0.0
9,positive_test_hcv,0.0,-0.21,0.0,0.68
10,no_positive_test,0.0,-0.0,0.08,0.883
11,test_hcv_freq,0.0,0.0,0.0,1.0
12,landbin,0.0,0.0,0.18,0.617
13,ABSCHLUSS_TYPE_Haupt-/Volksschulabschluss,0.0,0.0,0.0,0.994
14,ABSCHLUSS_TYPE_Kein Abschluss,0.0,0.0,0.0,0.985
15,ABSCHLUSS_TYPE_Realschulabschluss,-0.11,-0.33,0.0,0.159
16,SEXLIFE_Discontent,-0.25,-0.47,-0.02,0.018
17,SEXLIFE_Sex doesnt matter right now,0.0,0.0,0.0,0.993
18,age_18-29 yrs,-0.24,-0.46,-0.03,0.013
19,age_40-49 yrs,0.07,0.0,0.27,0.308
20,age_50-80 yrs,-0.01,-0.23,0.0,0.502
21,sex_partner_0,0.0,0.0,0.0,0.996
22,sex_partner_1,-0.27,-0.52,0.0,0.042
23,sex_partner_11-20,0.27,0.04,0.5,0.011
24,sex_partner_2-3,-0.78,-0.99,-0.55,0.0
25,sex_partner_4-5,-0.32,-0.53,-0.08,0.004
26,sex_partner_6-10,0.0,0.0,0.11,0.831
27,sex_freq_0x,-0.08,-0.32,0.0,0.293
28,sex_freq_5-8x,0.03,0.0,0.25,0.427
29,sex_freq_9-12x,0.0,-0.09,0.0,0.892
30,sex_freq_>12x,0.14,0.0,0.38,0.11
31,drugs_inject_Ja 1-3x letzte 6 Monate,0.0,0.0,0.0,1.0
32,drugs_inject_Ja >3x letzte 6 Monate,0.0,0.0,0.0,1.0
33,drugs_inject_Ja länger her als 6 Monate,0.0,0.0,0.0,1.0
34,condom_0%,0.5,0.29,0.71,0.0
35,condom_50%,-0.29,-0.51,-0.07,0.006
36,condom_75%,0.0,-0.19,0.0,0.694
37,condom_>95%,-0.59,-0.83,-0.35,0.0
38,NET_EQUIVALENT_INCOME_1 bis <1000,-0.3,-0.52,-0.03,0.014
39,NET_EQUIVALENT_INCOME_1000 bis <2000,-0.09,-0.28,0.0,0.225
40,NET_EQUIVALENT_INCOME_3000 bis <4000,0.15,0.0,0.39,0.104
41,NET_EQUIVALENT_INCOME_4000 bis <5000,0.09,0.0,0.33,0.232
42,NET_EQUIVALENT_INCOME_5000+,0.0,0.0,0.09,0.885
43,URBAN_RURAL_AREA_Ländlicher Raum,0.0,-0.21,0.0,0.574
44,HIV_SPECIALIST_DENSITY_0-2,0.0,0.0,0.03,0.958
45,HIV_SPECIALIST_DENSITY_10-13,0.29,0.09,0.51,0.004
46,HIV_SPECIALIST_DENSITY_3-5,0.0,0.0,0.21,0.518
47,test_syp_freq_1,0.0,-0.06,0.0,0.935
48,test_syp_freq_2+,0.0,0.0,0.0,1.0
49,test_go_freq_0,0.0,-0.18,0.0,0.663
50,test_go_freq_2+,0.0,0.0,0.13,0.8
51,test_chla_freq_0,0.0,-0.03,0.0,0.956
52,test_chla_freq_2+,0.1,0.0,0.28,0.18
