,Feature,Coefficient,lower 95% CI,upper 95% CI,p_values
0,ALL_SEXWITH_MEN,0.0,0.0,0.0,1.0
1,ALL_SEXWITH_WOMEN,-0.235043220963791,-0.4879195892135214,0.0,0.0534
2,ALL_SEXWITH_NONBINARY,0.0,0.0,0.0,0.999
3,ALL_TESTSTIPOS_SYPH_w3,0.0,-0.024380573585480174,0.10423019888839632,0.835
4,ALL_TESTSTIPOS_GO_w3,0.0972763242432551,0.0,0.28953804495305385,0.1678
5,ALL_TESTSTIPOS_CHLA_w3,0.3946045175354584,0.19181178198030763,0.5978670111639517,0.0
6,ALL_TESTSTIPOS_HCV_w3,0.0,-0.12709827346707317,0.0,0.754
7,ALL_TESTSTIPOS_KEINE_w3,0.0,0.0,0.08826163726189125,0.8653
8,landbin,0.0,0.0,0.16802560327700894,0.6625
9,ABSCHLUSS_TYPE_Haupt-/Volksschulabschluss,0.0,0.0,0.0,0.9956
10,ABSCHLUSS_TYPE_Kein Abschluss,0.0,0.0,0.0,0.984
11,ABSCHLUSS_TYPE_Realschulabschluss,-0.09970154974494766,-0.31441872937822407,0.0,0.1871
12,ABSCHLUSS_TYPE_nan,0.0,-0.008818250496528603,0.0,0.9696
13,SEXLIFE_Discontent,-0.3063457000793824,-0.5200234922233381,-0.06530280395175779,0.006
14,SEXLIFE_Sex doesnt matter right now,0.0,0.0,0.0,0.9896
15,SEXLIFE_nan,-0.25821820573138027,-0.47591195334635455,-0.023106210746887866,0.0143
16,alter_18-29 yrs,-0.24095245362790904,-0.45562693618191624,-0.03178133540082652,0.0126
17,alter_40-49 yrs,0.061750501017814034,0.0,0.26279579964664596,0.3203
18,alter_50-80 yrs,-0.027140356982848786,-0.24503967590310763,0.0,0.4665
19,alter_nan,0.0,0.0,0.0,1.0
20,ALL_SEXPARTNER_0,0.0,0.0,0.0,0.995
21,ALL_SEXPARTNER_1,-0.26397309506964756,-0.5039680777105231,0.0,0.047
22,ALL_SEXPARTNER_11-20,0.2646954220965578,0.03708841959088938,0.49936706187995583,0.0116
23,ALL_SEXPARTNER_2-3,-0.7643896227514154,-0.9771563270508249,-0.5383832720183777,0.0
24,ALL_SEXPARTNER_4-5,-0.30856302983688855,-0.5177782406983545,-0.07468457477017162,0.0053
25,ALL_SEXPARTNER_6-10,0.0,0.0,0.11858330802525262,0.8097
26,ALL_SEXPARTNER_nan,0.0,0.0,0.0,1.0
27,ALL_SEXFREQ_0x,-0.07079224932614517,-0.3140914513038211,0.0,0.3105
